game_index,name,seat,bias_score,p_runs,p_markov,p_comp
0,Cさん,西,1,0.017718725756770325,0.10693001999760897,0.888
1,Aさん,東,2,0.0019161214301012704,0.003148972200755946,0.9879
1,Cさん,西,2,0.017718725756770325,0.005819332916146411,0.5681
2,Bさん,東,2,0.0005230230780571317,0.0014060620112582075,0.7704
3,Cさん,東,1,0.10813958353394319,0.005706057819165056,0.9422
3,Aさん,西,1,0.04488837120124027,0.4929635630496658,0.4384
3,Bさん,北,1,0.04488837120124027,0.09200612674683065,0.943
4,Dさん,東,1,0.04488837120124027,0.06203423933899268,0.7508
4,Cさん,北,1,0.006196663652666353,0.22207156795208857,0.4392
5,Bさん,南,1,0.006196663652666353,0.42576784429359793,0.7666
5,Dさん,北,1,0.20258943401364382,0.018169455364103967,0.438
6,Aさん,東,3,0.048207206259313864,0.019202568624566187,0.0256
7,Bさん,東,2,0.017718725756770325,0.005162141597357431,0.104
7,Dさん,西,2,0.04488837120124027,0.48675097651636434,0.0056
7,Aさん,北,2,0.017718725756770325,0.8081778886944169,0.024
8,Dさん,南,2,0.04488837120124027,0.029068112089755092,0.6098
9,Cさん,東,2,0.006659896078745761,0.015229972403851507,0.7621
10,Dさん,南,2,0.04488837120124027,0.018027033532885674,0.1532
11,Dさん,南,2,0.006196663652666353,0.035293908948798504,0.4362
